Day,Date,Leads,Time spent on LG (mins),Avg Time Per Lead (mins),Daily Team Review,No. of Incomplete Leads
Mon,12/06/2023,7,197,28,Attended,0
Tue,13/06/2023,8,153,19,Attended,0
Wed,14/06/2023,9,161,18,Attended,0
Thu,15/06/2023,9,184,20,Attended,0
Fri,16/06/2023,10,141,14,Attended,0
Sat,17/06/2023,,,,,
Sun,18/06/2023,,,,,
Mon,19/06/2023,10,145,15,Attended,0
Tue,20/06/2023,10,136,14,Attended,0
Wed,21/06/2023,12,125,10,Attended,0
Thu,22/06/2023,,,,,
Fri,23/06/2023,10,110,11,Attended,9
Sat,24/06/2023,,,,,
Sun,25/06/2023,,,,,
Mon,26/06/2023,14,194,14,Attended,0
Tue,27/06/2023,15,170,11,Attended,0
Wed,28/06/2023,15,161,11,Attended,0
Thu,29/06/2023,,,,,
Fri,30/06/2023,12,135,11,Attended,0
Sat,01/07/2023,,,,,
Sun,02/07/2023,,,,,
Mon,03/07/2023,12,162,14,Attended,0
Tue,04/07/2023,15,150,10,Attended,0
Wed,05/07/2023,11,125,11,Attended,0
Thu,06/07/2023,13,138,11,Attended,0
Fri,07/07/2023,11,126,11,Attended,0
Sat,08/07/2023,,,,,
Sun,09/07/2023,,,,,
Mon,10/07/2023,11,122,11,Attended,0
Tue,11/07/2023,12,123,10,Attended,0
Wed,12/07/2023,10,119,12,Attended,0
Thu,13/07/2023,11,112,10,Attended,0
Fri,14/07/2023,,,,,
Sat,15/07/2023,,,,,
Sun,16/07/2023,,,,,
Mon,17/07/2023,12,138,12,Attended,0
Tue,18/07/2023,14,130,9,Attended,0
Wed,19/07/2023,11,125,11,Attended,0
Thu,20/07/2023,12,125,10,Attended,0
Fri,21/07/2023,15,169,11,Attended,0
Sat,22/07/2023,,,,,
Sun,23/07/2023,,,,,
Mon,24/07/2023,12,136,11,Attended,0
Tue,25/07/2023,11,120,11,Attended,0
Wed,26/07/2023,12,130,11,Attended,0
Thu,27/07/2023,,,,,
Fri,28/07/2023,5,46,9,Attended,0
Sat,29/07/2023,,,,,
Sun,30/07/2023,,,,,
Mon,31/07/2023,12,128,11,Attended,0
Tue,01/08/2023,12,120,10,Attended,0
Wed,02/08/2023,12,133,11,Attended,0
Thu,03/08/2023,13,135,10,Attended,0
Fri,04/08/2023,12,125,10,Attended,0
Sat,05/08/2023,,,,,
Sun,06/08/2023,,,,,
Mon,07/08/2023,12,121,10,Attended,0
Tue,08/08/2023,10,102,10,Attended,0
Wed,09/08/2023,12,115,10,Attended,0
Thu,10/08/2023,15,156,10,Attended,0
Fri,11/08/2023,13,126,10,Attended,0
