Day,Date,Leads,Time spent on LG (mins),Avg Time Per Lead (mins),Daily Team Review,No. of Incomplete Leads
Mon,12/06/2023,7,240,34,Attended,0
Tue,13/06/2023,10,360,36,Attended,3
Wed,14/06/2023,10,270,27,Attended,0
Thu,15/06/2023,10,260,26,Attended,0
Fri,16/06/2023,10,240,24,Attended,0
Sat,17/06/2023,,,,,
Sun,18/06/2023,,,,,
Mon,19/06/2023,10,360,36,Attended,0
Tue,20/06/2023,10,260,26,Attended,0
Wed,21/06/2023,8,240,30,Attended,2
Thu,22/06/2023,,,,,
Fri,23/06/2023,9,230,26,Attended,1
Sat,24/06/2023,,,,,
Sun,25/06/2023,,,,,
Mon,26/06/2023,14,280,20,Attended,1
Tue,27/06/2023,7,260,37,Attended,6
Wed,28/06/2023,19,360,19,Attended,0
Thu,29/06/2023,,,,,
Fri,30/06/2023,18,370,21,Attended,1
Sat,01/07/2023,,,,,
Sun,02/07/2023,,,,,
Mon,03/07/2023,10,230,23,Attended,0
Tue,04/07/2023,10,260,26,Attended,0
Wed,05/07/2023,12,290,24,Attended,0
Thu,06/07/2023,10,250,25,Attended,0
Fri,07/07/2023,10,260,26,Attended,0
Sat,08/07/2023,,,,,
Sun,09/07/2023,,,,,
Mon,10/07/2023,11,260,24,Attended,0
Tue,11/07/2023,12,275,23,Attended,0
Wed,12/07/2023,11,240,22,Attended,0
Thu,13/07/2023,12,260,22,Attended,0
Fri,14/07/2023,,,,,
Sat,15/07/2023,,,,,
Sun,16/07/2023,,,,,
Mon,17/07/2023,10,260,26,Attended,0
Tue,18/07/2023,10,290,29,Attended,0
Wed,19/07/2023,12,285,24,Attended,0
Thu,20/07/2023,11,250,23,Attended,0
Fri,21/07/2023,14,290,21,Attended,0
Sat,22/07/2023,,,,,
Sun,23/07/2023,,,,,
Mon,24/07/2023,13,290,22,Attended,0
Tue,25/07/2023,13,290,22,Attended,0
Wed,26/07/2023,10,260,26,Attended,0
Thu,27/07/2023,,,,,
Fri,28/07/2023,12,240,20,Attended,0
Sat,29/07/2023,,,,,
Sun,30/07/2023,,,,,
Mon,31/07/2023,10,250,25,Attended,0
Tue,01/08/2023,,,,Missed,0
Wed,02/08/2023,4,45,11,Attended,0
Thu,03/08/2023,10,250,25,Attended,0
Fri,04/08/2023,10,250,25,Attended,0
Sat,05/08/2023,16,270,17,Attended,0
Sun,06/08/2023,,,,,
Mon,07/08/2023,11,250,23,Attended,0
Tue,08/08/2023,10,190,19,Attended,0
Wed,09/08/2023,10,190,19,Attended,0
Thu,10/08/2023,10,180,18,Missed,0
Fri,11/08/2023,11,200,18,,
